title;description;url;image;website
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/DenisStenklerTrailer/ToDoList-Web-App;1.png;https://denisstenklertrailer-todolist-web-app-web-3vmpz7.streamlit.app/
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/DenisStenklerTrailer/Portfolio-Web-App;2.png;https://denisstenklertrailer-portfolio-web-app-home-kd3z6j.streamlit.app/
YouTube Mp3 Downloader;A desktop app for converting YouTube videos to mp3.;https://github.com/DenisStenklerTrailer/YoutubeMp3Downloader-Desktop-App;3.png;
ZIP Compressor/Extractor;A desktop app for compressing and extracting ZIP files.;https://github.com/DenisStenklerTrailer/ZippingFiles-Desktop-App;ZIP.png;
PDF Generator;PDF template generation App to learn creating PDF and interaction Python with PDF.;https://github.com/DenisStenklerTrailer/PDF-Template-Generation-App;5.png;
Excel Invoices to PDF;Extracting Excel data and creating PDF invoice from it.;https://github.com/DenisStenklerTrailer/Excel-Invoices-To-PDF-App;4.png;
News API Email App;Sending news from Yahoo API over email. ;https://github.com/DenisStenklerTrailer/News-API-Email-App;NEWS.png;
Astronomy Image Of The Day;Streamlit App where we get astronomy image of the day.;https://github.com/DenisStenklerTrailer/Astronomy-Image-Of-The-Day;NASA.png;https://denisstenklertrailer-astronomy-image-of-the-day-main-tp82to.streamlit.app/
Weather Forecast web App;A web app where you can serach for the place and you will get data for 5 days for the temperature and sky conditions. ;https://github.com/DenisStenklerTrailer/Weather-Forecast-Web-App;WEATHER_API.png;
English Dictionary;Created my own API where you enter a word and you definition as a result.;https://github.com/DenisStenklerTrailer/Dictionary-API-App;DICTIONARY_API.png;
